Country,Time Serie,Rate
INDIA/US,22/06/2001,47.04
INDIA/US,25/06/2001,47.06
INDIA/US,26/06/2001,47.07
INDIA/US,27/06/2001,47.04
INDIA/US,28/06/2001,47.06
INDIA/US,29/06/2001,47.09
INDIA/US,02/07/2001,47.18
INDIA/US,03/07/2001,47.17
INDIA/US,05/07/2001,47.18
INDIA/US,06/07/2001,47.17
INDIA/US,09/07/2001,47.19
INDIA/US,10/07/2001,47.19
INDIA/US,11/07/2001,47.21
INDIA/US,12/07/2001,47.2
INDIA/US,13/07/2001,47.21
INDIA/US,16/07/2001,47.2
INDIA/US,17/07/2001,47.16
INDIA/US,18/07/2001,47.12
INDIA/US,19/07/2001,47.16
INDIA/US,20/07/2001,47.17
INDIA/US,23/07/2001,47.17
INDIA/US,24/07/2001,47.11
INDIA/US,25/07/2001,47.19
INDIA/US,26/07/2001,47.2
INDIA/US,27/07/2001,47.19
INDIA/US,30/07/2001,47.19
INDIA/US,31/07/2001,47.18
INDIA/US,01/08/2001,47.16
INDIA/US,02/08/2001,47.11
INDIA/US,03/08/2001,47.17
INDIA/US,06/08/2001,47.16
INDIA/US,07/08/2001,47.11
INDIA/US,08/08/2001,47.19
INDIA/US,09/08/2001,47.18
INDIA/US,10/08/2001,47.17
INDIA/US,13/08/2001,47.17
INDIA/US,14/08/2001,47.15
INDIA/US,15/08/2001,47.16
INDIA/US,16/08/2001,47.16
INDIA/US,17/08/2001,47.17
INDIA/US,20/08/2001,47.18
INDIA/US,21/08/2001,47.18
INDIA/US,22/08/2001,47.18
INDIA/US,23/08/2001,47.17
INDIA/US,24/08/2001,47.17
INDIA/US,27/08/2001,47.19
INDIA/US,28/08/2001,47.19
INDIA/US,29/08/2001,47.16
INDIA/US,30/08/2001,47.18
INDIA/US,31/08/2001,47.17
INDIA/US,04/09/2001,47.22
INDIA/US,05/09/2001,47.2
INDIA/US,06/09/2001,47.22
INDIA/US,07/09/2001,47.27
INDIA/US,10/09/2001,47.38
INDIA/US,12/09/2001,47.39
INDIA/US,13/09/2001,47.49
INDIA/US,14/09/2001,47.75
INDIA/US,17/09/2001,47.77
INDIA/US,18/09/2001,48.05
INDIA/US,19/09/2001,47.96
INDIA/US,20/09/2001,48.03
INDIA/US,21/09/2001,48.08
INDIA/US,24/09/2001,48.08
INDIA/US,25/09/2001,48.91
INDIA/US,26/09/2001,47.91
INDIA/US,27/09/2001,47.91
INDIA/US,28/09/2001,47.9
INDIA/US,01/10/2001,48.03
INDIA/US,02/10/2001,48.03
INDIA/US,03/10/2001,47.96
INDIA/US,04/10/2001,48.04
INDIA/US,05/10/2001,48.05
INDIA/US,09/10/2001,48.17
INDIA/US,10/10/2001,48.09
INDIA/US,11/10/2001,48.09
INDIA/US,12/10/2001,48.07
INDIA/US,15/10/2001,48.07
INDIA/US,16/10/2001,48.05
INDIA/US,17/10/2001,48.05
INDIA/US,18/10/2001,48.08
INDIA/US,19/10/2001,48.08
INDIA/US,22/10/2001,48.05
INDIA/US,23/10/2001,48.03
INDIA/US,24/10/2001,48.08
INDIA/US,25/10/2001,48
INDIA/US,26/10/2001,48.02
INDIA/US,29/10/2001,48.02
INDIA/US,30/10/2001,48.03
INDIA/US,31/10/2001,48.04
INDIA/US,01/11/2001,48.05
INDIA/US,02/11/2001,48.04
INDIA/US,05/11/2001,48.02
INDIA/US,06/11/2001,48.04
INDIA/US,07/11/2001,48.04
INDIA/US,08/11/2001,48.07
INDIA/US,09/11/2001,48.05
INDIA/US,13/11/2001,48.11
INDIA/US,14/11/2001,48.11
INDIA/US,15/11/2001,48.03
INDIA/US,16/11/2001,48.03
INDIA/US,19/11/2001,48
INDIA/US,20/11/2001,48.03
INDIA/US,21/11/2001,48.03
INDIA/US,23/11/2001,48.1
INDIA/US,26/11/2001,48.05
INDIA/US,27/11/2001,48.08
INDIA/US,28/11/2001,47.99
INDIA/US,29/11/2001,48.01
INDIA/US,30/11/2001,47.98
INDIA/US,03/12/2001,47.93
INDIA/US,04/12/2001,47.93
INDIA/US,05/12/2001,47.94
INDIA/US,06/12/2001,47.9
INDIA/US,07/12/2001,47.86
INDIA/US,10/12/2001,47.87
INDIA/US,11/12/2001,47.85
INDIA/US,12/12/2001,47.84
INDIA/US,13/12/2001,47.84
